256.148965ms,244.523847ms,235.794923ms,233.956327ms,242.526567ms,233.095485ms,231.362116ms,229.658896ms,237.617869ms,236.907563ms
233.123828ms,232.524693ms,232.171345ms,230.934231ms,229.76793ms,236.866778ms,235.725565ms,235.04628ms,251.593743ms,242.252008ms
233.217471ms,232.722772ms,232.268119ms,232.153072ms,230.734139ms,229.421335ms,237.120253ms,236.10977ms,235.471572ms,234.613855ms
233.271685ms,240.955494ms,240.333646ms,231.791089ms,239.160393ms,237.823323ms,237.817652ms,246.762859ms,244.411851ms,243.885852ms
241.220077ms,240.609169ms,240.637873ms,272.817469ms,229.629033ms,229.15977ms,235.942639ms,235.392446ms,234.19128ms,233.246168ms
233.257671ms,240.815365ms,240.497593ms,239.092167ms,237.657475ms,244.714356ms,235.632233ms,235.019973ms,242.195394ms,232.609604ms
233.450791ms,232.624493ms,232.135011ms,239.854546ms,239.686994ms,238.805944ms,246.510381ms,237.630134ms,228.779873ms,244.358104ms
249.090524ms,231.695061ms,247.709606ms,230.827709ms,230.188809ms,254.397851ms,228.258904ms,235.711663ms,226.761025ms,234.151147ms
325.454573ms,249.610756ms,232.337539ms,223.620006ms,231.363947ms,231.06411ms,229.913797ms,245.55811ms,278.454179ms,235.88154ms
233.014391ms,240.558861ms,231.706576ms,231.258801ms,230.060802ms,229.191292ms,237.192672ms,235.758161ms,260.381395ms,234.505156ms
