265.051787ms,272.626575ms,322.80906ms,451.035796ms,433.029603ms,504.860285ms,519.739113ms,575.843588ms,559.567085ms,562.992384ms
241.664043ms,257.990458ms,277.780272ms,277.707278ms,291.746161ms,291.123642ms,337.454785ms,351.963114ms,355.710514ms,443.290213ms
238.706125ms,257.587388ms,285.907859ms,272.608161ms,306.293744ms,312.306902ms,394.174354ms,408.012665ms,410.7212ms,422.628064ms
237.933642ms,247.67302ms,251.72699ms,300.701998ms,302.543487ms,322.725934ms,306.096274ms,360.135834ms,374.689897ms,428.767046ms
243.443037ms,257.601064ms,276.7901ms,274.327453ms,278.047872ms,314.03395ms,307.970848ms,352.09424ms,418.547456ms,380.582223ms
250.088474ms,259.506973ms,271.306407ms,269.30988ms,300.5668ms,281.731232ms,335.586728ms,387.561901ms,459.878248ms,442.081305ms
241.193328ms,263.891339ms,285.947885ms,305.438833ms,295.626179ms,310.363805ms,324.523234ms,339.103708ms,405.242459ms,440.805189ms
242.196946ms,258.166937ms,270.933072ms,279.672939ms,312.625076ms,303.409465ms,319.111477ms,364.066496ms,347.16399ms,382.432069ms
237.35424ms,250.970608ms,253.612617ms,294.134091ms,270.493466ms,314.480563ms,298.031881ms,333.005994ms,369.012839ms,424.841069ms
235.180991ms,247.774385ms,262.757398ms,280.527221ms,290.183024ms,312.340758ms,325.163839ms,360.608058ms,364.205428ms,449.671592ms
